distance_m,refractive_index,proper_time_s
0.0,0.9999999999985054,4.169603310012044e-11
0.12500156251953148,0.9999999999984971,4.5865636410132295e-10
0.25000312503906297,0.9999999999984888,8.756166951025221e-10
0.3750046875585945,0.9999999999984803,1.2925770261037176e-09
0.5000062500781259,0.9999999999984719,1.7095373571049097e-09
0.6250078125976575,0.9999999999984633,2.1264976881060983e-09
0.750009375117189,0.9999999999984548,2.543458019107283e-09
0.8750109376367204,0.9999999999984462,2.960418350108465e-09
1.0000125001562519,0.9999999999984376,3.377378681109642e-09
1.1250140626757834,0.9999999999984289,3.794339012110817e-09
1.250015625195315,0.9999999999984202,4.211299343111987e-09
1.3750171877148465,0.9999999999984114,4.628259674113154e-09
1.500018750234378,0.9999999999984026,5.045220005114318e-09
1.6250203127539093,0.9999999999983937,5.4621803361154764e-09
1.7500218752734409,0.9999999999983848,5.879140667116628e-09
1.8750234377929724,0.9999999999983759,6.296100998117781e-09
2.0000250003125037,0.9999999999983669,6.713061329118932e-09
2.1250265628320353,0.9999999999983578,7.130021660120074e-09
2.250028125351567,0.9999999999983487,7.546981991121214e-09
2.3750296878710984,0.9999999999983396,7.963942322122354e-09
2.50003125039063,0.9999999999983303,8.380902653123484e-09
2.6250328129101614,0.999999999998321,8.797862984124614e-09
2.750034375429693,0.9999999999983117,9.214823315125742e-09
2.8750359379492245,0.9999999999983024,9.631783646126862e-09
3.000037500468756,0.999999999998293,1.0048743977127979e-08
3.125039062988287,0.9999999999982835,1.0465704308129095e-08
3.2500406255078187,0.999999999998274,1.0882664639130209e-08
3.3750421880273502,0.9999999999982645,1.1299624970131319e-08
3.5000437505468818,0.9999999999982548,1.1716585301132412e-08
3.6250453130664133,0.9999999999982452,1.2133545632133506e-08
3.750046875585945,0.9999999999982355,1.2550505963134599e-08
3.8750484381054764,0.9999999999982258,1.296746629413569e-08
4.0000500006250075,0.999999999998216,1.3384426625136784e-08
4.125051563144539,0.9999999999982061,1.3801386956137868e-08
4.250053125664071,0.9999999999981962,1.4218347287138938e-08
4.375054688183602,0.9999999999981862,1.4635307618140007e-08
4.500056250703134,0.9999999999981762,1.5052267949141075e-08
4.625057813222665,0.9999999999981661,1.5469228280142146e-08
4.750059375742197,0.999999999998156,1.5886188611143213e-08
4.875060938261728,0.9999999999981458,1.6303148942144267e-08
5.00006250078126,0.9999999999981356,1.6720109273145314e-08
5.125064063300791,0.9999999999981254,1.7137069604146358e-08
5.250065625820323,0.999999999998115,1.7554029935147405e-08
5.375067188339854,0.9999999999981046,1.797099026614845e-08
5.500068750859386,0.9999999999980942,1.838795059714949e-08
5.6250703133789175,0.9999999999980836,1.880491092815051e-08
5.750071875898449,0.9999999999980731,1.9221871259151534e-08
5.875073438417981,0.9999999999980625,1.9638831590152554e-08
6.000075000937512,0.9999999999980519,2.0055791921153575e-08
6.125076563457044,0.9999999999980411,2.04727522521546e-08
6.250078125976574,0.9999999999980304,2.08897125831556e-08
6.375079688496106,0.9999999999980195,2.1306672914156597e-08
6.500081251015637,0.9999999999980086,2.1723633245157608e-08
6.625082813535169,0.9999999999979977,2.2140593576158583e-08
6.7500843760547005,0.9999999999979866,2.2557553907159557e-08
6.875085938574232,0.9999999999979756,2.297451423816053e-08
7.0000875010937635,0.9999999999979645,2.3391474569161506e-08
7.125089063613295,0.9999999999979533,2.380843490016248e-08
7.250090626132827,0.9999999999979421,2.4225395231163454e-08
7.375092188652358,0.9999999999979308,2.464235556216443e-08
7.50009375117189,0.9999999999979194,2.5059315893165403e-08
7.625095313691421,0.999999999997908,2.5476276224166377e-08
7.750096876210953,0.9999999999978966,2.5893236555167345e-08
7.875098438730484,0.999999999997885,2.6310196886168273e-08
8.000100001250015,0.9999999999978734,2.6727157217169198e-08
8.125101563769547,0.9999999999978617,2.714411754817013e-08
8.250103126289078,0.99999999999785,2.756107787917105e-08
8.37510468880861,0.9999999999978383,2.7978038210171982e-08
8.500106251328141,0.9999999999978264,2.8394998541172907e-08
8.625107813847674,0.9999999999978145,2.8811958872173835e-08
8.750109376367204,0.9999999999978025,2.922891920317476e-08
8.875110938886737,0.9999999999977905,2.964587953417569e-08
9.000112501406267,0.9999999999977784,3.00628398651766e-08
9.1251140639258,0.9999999999977662,3.047980019617747e-08
9.25011562644533,0.999999999997754,3.0896760527178356e-08
9.375117188964863,0.9999999999977418,3.1313720858179234e-08
9.500118751484393,0.9999999999977295,3.173068118918011e-08
9.625120314003926,0.999999999997717,3.214764152018099e-08
9.750121876523457,0.9999999999977045,3.2564601851181876e-08
9.875123439042987,0.9999999999976921,3.2981562182182754e-08
10.00012500156252,0.9999999999976794,3.339852251318363e-08
10.12512656408205,0.9999999999976668,3.38154828441845e-08
10.250128126601583,0.999999999997654,3.423244317518533e-08
10.375129689121113,0.9999999999976412,3.464940350618616e-08
10.500131251640646,0.9999999999976283,3.5066363837186994e-08
10.625132814160176,0.9999999999976155,3.5483324168187826e-08
10.750134376679709,0.9999999999976024,3.590028449918866e-08
10.87513593919924,0.9999999999975894,3.631724483018949e-08
11.000137501718772,0.9999999999975762,3.673420516119032e-08
11.125139064238303,0.9999999999975631,3.7151165492191155e-08
11.250140626757835,0.9999999999975497,3.756812582319196e-08
11.375142189277366,0.9999999999975364,3.798508615419275e-08
11.500143751796898,0.999999999997523,3.840204648519353e-08
11.625145314316429,0.9999999999975095,3.881900681619432e-08
11.750146876835961,0.999999999997496,3.9235967147195103e-08
11.875148439355492,0.9999999999974823,3.965292747819588e-08
12.000150001875024,0.9999999999974687,4.0069887809196675e-08
