radius_m,electron_density_m3,refractive_index,is_negative_index
90.0,1.5240284678777445e+27,-22.014167914262945,True
90.02002002002003,1.5273138987868132e+27,-22.037932618397246,True
90.04004004004004,1.5306132819279216e+27,-22.0617724816801,True
90.06006006006007,1.5339266216918196e+27,-22.085687292399427,True
90.08008008008008,1.5372539219706353e+27,-22.109676835402464,True
90.10010010010011,1.5405951861545887e+27,-22.13374089209794,True
90.12012012012012,1.5439504171286726e+27,-22.15787924045824,True
90.14014014014015,1.5473196172693844e+27,-22.182091655021978,True
90.16016016016016,1.5507027884414324e+27,-22.20637790689657,True
90.18018018018019,1.5540999319944908e+27,-22.230737763761297,True
90.2002002002002,1.557511048759929e+27,-22.255170989870244,True
90.22022022022023,1.560936139047592e+27,-22.27967734605582,True
90.24024024024024,1.5643752026425558e+27,-22.30425658973218,True
90.26026026026027,1.5678282388019315e+27,-22.32890847489906,True
90.28028028028028,1.571295246251649e+27,-22.353632752145696,True
90.30030030030031,1.5747762231832874e+27,-22.378429168655085,True
90.32032032032032,1.578271167250887e+27,-22.403297468208272,True
90.34034034034035,1.5817800755678095e+27,-22.428237391189086,True
90.36036036036036,1.5853029447035762e+27,-22.453248674588806,True
90.38038038038039,1.588839770680761e+27,-22.478331052011335,True
90.4004004004004,1.5923905489718564e+27,-22.503484253678238,True
90.42042042042043,1.5959552744961995e+27,-22.528708006434375,True
90.44044044044044,1.59953394161687e+27,-22.55400203375335,True
90.46046046046047,1.6031265441376472e+27,-22.57936605574348,True
90.48048048048048,1.6067330752999424e+27,-22.60479978915371,True
90.50050050050051,1.6103535277797878e+27,-22.63030294737999,True
90.52052052052052,1.6139878936848055e+27,-22.655875240471552,True
90.54054054054055,1.617636164551231e+27,-22.681516375137686,True
90.56056056056056,1.6212983313409165e+27,-22.707226054754447,True
90.58058058058059,1.6249743844383918e+27,-22.733003979371794,True
90.6006006006006,1.628664313647905e+27,-22.75884984572069,True
90.62062062062063,1.632368108190522e+27,-22.784763347220643,True
90.64064064064064,1.6360857567012027e+27,-22.81074417398718,True
90.66066066066067,1.6398172472259417e+27,-22.836792012839776,True
90.68068068068068,1.6435625672188832e+27,-22.8629065473097,True
90.70070070070071,1.6473217035395042e+27,-22.889087457648326,True
90.72072072072072,1.6510946424497685e+27,-22.915334420835375,True
90.74074074074075,1.654881369611351e+27,-22.94164711058756,True
90.76076076076076,1.6586818700828362e+27,-22.968025197367222,True
90.78078078078079,1.662496128316984e+27,-22.99446834839136,True
90.8008008008008,1.6663241281579735e+27,-23.020976227640585,True
90.82082082082083,1.6701658528387115e+27,-23.047548495868565,True
90.84084084084084,1.674021284978121e+27,-23.0741848106113,True
90.86086086086087,1.6778904065784982e+27,-23.100884826196925,True
90.88088088088088,1.681773199022845e+27,-23.127648193755377,True
90.90090090090091,1.685669643072274e+27,-23.154474561228525,True
90.92092092092092,1.689579718863388e+27,-23.181363573380146,True
90.94094094094095,1.6935034059057348e+27,-23.2083148718065,True
90.96096096096096,1.6974406830792343e+27,-23.235328094946563,True
90.98098098098099,1.701391528631683e+27,-23.262402878092946,True
91.001001001001,1.7053559201762342e+27,-23.28953885340253,True
91.02102102102103,1.7093338346889496e+27,-23.31673564990766,True
91.04104104104104,1.7133252485063336e+27,-23.343992893527144,True
91.06106106106107,1.7173301373229373e+27,-23.37131020707775,True
91.08108108108108,1.721348476188945e+27,-23.398687210285555,True
91.10110110110111,1.7253802395078332e+27,-23.42612351979776,True
91.12112112112112,1.7294254010340095e+27,-23.45361874919435,True
91.14114114114115,1.7334839338705282e+27,-23.481172509000253,True
91.16116116116116,1.7375558104667842e+27,-23.508784406697256,True
91.18118118118119,1.741641002616286e+27,-23.536454046736537,True
91.2012012012012,1.7457394814544053e+27,-23.56418103055089,True
91.22122122122123,1.7498512174562077e+27,-23.591964956567512,True
91.24124124124124,1.7539761804342619e+27,-23.619805420220573,True
91.26126126126127,1.7581143395365283e+27,-23.647702013964278,True
91.28128128128128,1.7622656632442286e+27,-23.67565432728577,True
91.30130130130131,1.7664301193697928e+27,-23.70366194671845,True
91.32132132132132,1.7706076750547927e+27,-23.731724455855176,True
91.34134134134135,1.7747982967679476e+27,-23.7598414353619,True
91.36136136136136,1.7790019503031213e+27,-23.78801246299112,True
91.38138138138139,1.7832186007773917e+27,-23.816237113595804,True
91.4014014014014,1.7874482126291094e+27,-23.84451495914315,True
91.42142142142143,1.7916907496160323e+27,-23.872845568728767,True
91.44144144144144,1.7959461748134479e+27,-23.90122850859067,True
91.46146146146147,1.8002144506123754e+27,-23.92966334212381,True
91.48148148148148,1.8044955387177527e+27,-23.958149629894283,True
91.50150150150151,1.8087894001467056e+27,-23.98668692965413,True
91.52152152152152,1.8130959952267997e+27,-24.015274796355815,True
91.54154154154155,1.8174152835943817e+27,-24.04391278216729,True
91.56156156156156,1.821747224192897e+27,-24.072600436486734,True
91.58158158158159,1.8260917752713005e+27,-24.101337305957827,True
91.6016016016016,1.8304488943824444e+27,-24.130122934484795,True
91.62162162162163,1.8348185383815578e+27,-24.15895686324788,True
91.64164164164164,1.839200663424709e+27,-24.187838630718684,True
91.66166166166167,1.8435952249673538e+27,-24.216767772675855,True
91.68168168168168,1.8480021777628696e+27,-24.24574382222063,True
91.70170170170171,1.8524214758611775e+27,-24.274766309792813,True
91.72172172172172,1.8568530726073508e+27,-24.303834763186526,True
91.74174174174175,1.8612969206403098e+27,-24.332948707566402,True
91.76176176176176,1.8657529718915043e+27,-24.362107665483606,True
91.78178178178179,1.8702211775836844e+27,-24.391311156892222,True
