radius_m,electron_density_m3,refractive_index,is_negative_index
108.17817817817817,6.577178487709003e+27,-45.76879990305866,True
108.1981981981982,6.561455208803809e+27,-45.714034006285736,True
108.21821821821823,6.545774121542886e+27,-45.659349643125324,True
108.23823823823824,6.530135401620265e+27,-45.60474772067217,True
108.25825825825825,6.514539222241084e+27,-45.55022914122059,True
108.27827827827828,6.498985754125729e+27,-45.49579480223373,True
108.2982982982983,6.48347516551411e+27,-45.441445596313045,True
108.31831831831832,6.468007622170043e+27,-45.38718241116784,True
108.33833833833833,6.452583287385738e+27,-45.333006129585,True
108.35835835835836,6.437202321986482e+27,-45.278917629399054,True
108.37837837837839,6.421864884335442e+27,-45.224917783462566,True
108.3983983983984,6.406571130338556e+27,-45.17100745961641,True
108.41841841841841,6.391321213449552e+27,-45.11718752066047,True
108.43843843843844,6.37611528467514e+27,-45.063458824324556,True
108.45845845845847,6.360953492580326e+27,-45.00982222323961,True
108.47847847847848,6.3458359832938e+27,-44.956278564908935,True
108.49849849849849,6.330762900513469e+27,-44.90282869167977,True
108.51851851851852,6.315734385512136e+27,-44.849473440715144,True
108.53853853853855,6.300750577143303e+27,-44.79621364396594,True
108.55855855855856,6.285811611847067e+27,-44.74305012814321,True
108.57857857857857,6.270917623656113e+27,-44.68998371469052,True
108.5985985985986,6.256068744201883e+27,-44.637015219756854,True
108.61861861861863,6.241265102720861e+27,-44.58414545416969,True
108.63863863863864,6.226506826060924e+27,-44.53137522340819,True
108.65865865865865,6.211794038687817e+27,-44.478705327576606,True
108.67867867867868,6.197126862691775e+27,-44.426136561378165,True
108.6986986986987,6.182505417794265e+27,-44.37366971408919,True
108.71871871871872,6.167929821354801e+27,-44.32130556953325,True
108.73873873873873,6.15340018837785e+27,-44.269044906055704,True
108.75875875875876,6.138916631519917e+27,-44.21688849649853,True
108.77877877877879,6.124479261096715e+27,-44.16483710817555,True
108.7987987987988,6.110088185090418e+27,-44.11289150284767,True
108.81881881881881,6.095743509157e+27,-44.06105243669847,True
108.83883883883884,6.081445336633745e+27,-44.00932066031015,True
108.85885885885887,6.067193768546838e+27,-43.95769691863984,True
108.87887887887888,6.052988903619034e+27,-43.906181950995965,True
108.89889889889889,6.038830838277416e+27,-43.85477649101494,True
108.91891891891892,6.024719666661308e+27,-43.80348126663831,True
108.93893893893895,6.010655480630271e+27,-43.752297000090124,True
108.95895895895896,5.996638369772167e+27,-43.70122440785453,True
108.97897897897897,5.982668421411323e+27,-43.650264200653616,True
108.998998998999,5.968745720616821e+27,-43.599417083425685,True
109.01901901901903,5.954870350210881e+27,-43.54868375530392,True
109.03903903903904,5.941042390777321e+27,-43.49806490959507,True
109.05905905905905,5.927261920670072e+27,-43.447561233758584,True
109.07907907907908,5.913529016021859e+27,-43.397173409386085,True
109.0990990990991,5.899843750752949e+27,-43.34690211218124,True
109.11911911911912,5.886206196579958e+27,-43.29674801193974,True
109.13913913913913,5.872616423024744e+27,-43.24671177252964,True
109.15915915915916,5.859074497423424e+27,-43.19679405187216,True
109.17917917917919,5.845580484935482e+27,-43.146995501922774,True
109.1991991991992,5.832134448552908e+27,-43.0973167686525,True
109.21921921921921,5.818736449109445e+27,-43.04775849202955,True
109.23923923923924,5.805386545289927e+27,-42.99832130600141,True
109.25925925925927,5.792084793639719e+27,-42.94900583847727,True
109.27927927927928,5.77883124857419e+27,-42.899812711310624,True
109.29929929929929,5.765625962388266e+27,-42.850742540282305,True
109.31931931931932,5.752468985266091e+27,-42.80179593508383,True
109.33933933933935,5.739360365290786e+27,-42.75297349930126,True
109.35935935935936,5.726300148454211e+27,-42.704275830399176,True
109.37937937937937,5.713288378666828e+27,-42.65570351970499,True
109.3993993993994,5.700325097767668e+27,-42.60725715239379,True
109.41941941941943,5.687410345534362e+27,-42.55893730747356,True
109.43943943943944,5.674544159693208e+27,-42.51074455777054,True
109.45945945945945,5.661726575929309e+27,-42.46267946991495,True
109.47947947947948,5.64895762789682e+27,-42.41474260432735,True
109.4994994994995,5.636237347229249e+27,-42.36693451520515,True
109.51951951951952,5.623565763549799e+27,-42.31925575050952,True
109.53953953953953,5.610942904481765e+27,-42.27170685195255,True
109.55955955955956,5.598368795659045e+27,-42.22428835498504,True
109.57957957957959,5.58584346073669e+27,-42.177000788784504,True
109.5995995995996,5.573366921401497e+27,-42.12984467624353,True
109.61961961961961,5.560939197382664e+27,-42.082820533958504,True
109.63963963963964,5.548560306462517e+27,-42.03592887221876,True
109.65965965965967,5.536230264487326e+27,-41.98917019499624,True
109.67967967967968,5.523949085378105e+27,-41.94254499993527,True
109.69969969969969,5.511716781141506e+27,-41.89605377834283,True
109.71971971971972,5.499533361880772e+27,-41.849697015179245,True
109.73973973973975,5.487398835806753e+27,-41.803475189049344,True
109.75975975975976,5.475313209248945e+27,-41.75738877219383,True
109.77977977977977,5.463276486666572e+27,-41.71143823048104,True
109.7997997997998,5.451288670659751e+27,-41.665624023399275,True
109.81981981981983,5.439349761980709e+27,-41.61994660404943,True
109.83983983983984,5.427459759545014e+27,-41.57440641913802,True
109.85985985985985,5.415618660442846e+27,-41.52900390897047,True
109.87987987987988,5.403826459950354e+27,-41.48373950744503,True
109.8998998998999,5.392083151541053e+27,-41.43861364204704,True
109.91991991991992,5.380388726897223e+27,-41.39362673384348,True
109.93993993993993,5.368743175921369e+27,-41.34877919747798,True
109.95995995995996,5.357146486747726e+27,-41.304071441166194,True
109.97997997997999,5.345598645753838e+27,-41.25950386669182,True
110.0,5.334099637572106e+27,-41.21507686940271,True
